MSOA Code,Cases1,Cases2,Cases3,NUK,O65,Bame,HP,OO,OML,SR,PR,NP,Density,Geo,IMD,Health,Income,AS,Employment,Education,Crime,Environment
E02000104,523.8,1268.3,1226.7,57.21885621,0.119308433,0.701049209,437000,30.9,27.2,11.5,26.9,2.4,55.75423105,-0.36475,22.9335,-0.60125,0.13275,0.28875,0.09575,11.0255,0.56575,24.459
E02000105,430.9,1067.1,1446.8,59.93262334,0.132257366,0.757552706,380000,20.5,28.9,14.1,33.9,2.3,52.0993228,-0.3518,21.483,-0.6726,0.1372,0.2902,0.0758,11.2814,-0.0684,24.562
E02000106,364.8,748.2,935.1,58.87246746,0.170365265,0.623666438,397000,20.3,21.7,18.6,36.8,2.7,65.47833935,-0.610166667,33.08533333,-0.271333333,0.178333333,0.3645,0.110166667,23.65683333,1.1225,37.65866667
E02000107,337.7,735.8,1497.7,54.95697718,0.121177919,0.46530116,481250,17,18.9,15.3,47.3,3.2,71.13868613,-1.217833333,24.721,-0.2695,0.142333333,0.252166667,0.095166667,11.19233333,0.660166667,31.397
E02000108,366.1,793.1,1479.6,60.4799514,0.113428091,0.737849332,384750,24.9,29.9,15.7,27.2,1.5,79.74645787,-0.504,20.7275,-0.51575,0.123,0.291,0.0745,11.26375,0.253,26.6265
E02000109,377.2,1412.3,1397.5,61.73965937,0.107869449,0.762672344,370500,24.2,22.8,14.9,32.8,4.5,120.9528796,-0.322333333,21.4035,-0.608333333,0.1165,0.295333333,0.066333333,13.40283333,0.527833333,24.81933333
E02000110,209.8,862.6,1189.1,51.9104736,0.140024405,0.469271671,666000,23.1,22.6,20,32.7,1.9,80.6396064,-0.293,20.9468,-0.4686,0.1306,0.2318,0.0808,8.0426,0.4244,26.4882
E02000111,575.5,1288.1,1297.3,66.31568186,0.0981958,0.837865467,485000,24.4,26.4,13.3,33.3,1.9,69.67542504,-0.3246,22.2242,-0.637,0.1292,0.3202,0.0642,16.775,0.2898,23.9266
E02000112,579.4,1358.1,1586,66.49703138,0.128351597,0.789334182,426750,26.8,25.1,9.1,35.8,4.4,107.359199,-0.7866,23.1066,-0.7278,0.1226,0.328,0.0728,16.8476,0.2858,34.7398
E02000113,508,1285.5,1181.8,47.96478509,0.122419149,0.752563439,320750,8.8,13.4,59.2,14.9,1.4,97.03900709,0.317333333,45.2075,0.065,0.286166667,0.4115,0.189333333,29.12133333,0.8995,26.22
E02000114,270.9,812.5,1264.1,53.38512764,0.118708452,0.47436182,475000,13.2,17.4,20.6,45,2.6,82.9787234,-1.0698,24.402,-0.432,0.1526,0.2462,0.0906,12.694,0.5096,32.8316
E02000115,298.3,849,1468.6,46.7146283,0.108957081,0.378776978,547500,13.9,18,26.4,39.6,3.5,65,-0.508,24.021,-0.166,0.1482,0.1796,0.0934,6.9008,0.6344,25.035
E02000116,382.6,850.5,1105.6,58.42021342,0.102829053,0.592297314,345000,10.1,12,32.9,39.9,2.1,162.6101142,-1.06775,34.4505,0.02275,0.21325,0.345,0.13525,21.1305,0.7285,35.90975
E02000117,598.5,800.4,1173.5,52.56805128,0.118747132,0.68875385,393000,9.4,13,47.2,26.6,2.1,102.6619552,-1.1225,40.78516667,-0.0065,0.259333333,0.397666667,0.183166667,25.3655,0.675833333,31.09416667
E02000118,545.7,1149,1062.7,65.23076923,0.080684597,0.826843501,398500,22.2,29.9,20.4,24.9,1.6,85.83029197,-0.189,23.0234,-0.7512,0.116,0.3988,0.0746,25.5102,0.0548,25.2212
E02000119,1070.7,1170,1401.7,49.98620309,0.108874728,0.781456954,392500,5.2,7.7,66.3,15.3,2.7,144.5842697,-0.337,46.618,0.52375,0.272,0.3935,0.2025,26.06,0.7465,33.82875
E02000120,140.7,865.1,1319.4,46.77664424,0.110483485,0.35815064,577500,13,20.5,23.6,41.3,3.3,84.64343598,-0.9934,25.039,-0.2838,0.1542,0.1712,0.0978,8.5292,0.7538,31.6774
E02000121,613.5,1050.3,1254.5,69.22646367,0.099448124,0.839695511,360000,26.7,26.4,9.4,33.7,9.2,35.23920653,-0.6716,22.3264,-0.9472,0.1284,0.3534,0.0644,20.469,0.0452,32.919
E02000122,428.1,934,1621.2,43.48310434,0.107169893,0.417749722,840000,26.9,27.5,17.9,25.4,3.2,182.7470356,-0.729,17.1472,-0.6988,0.116,0.1932,0.0688,4.9916,0.4204,28.7452
